holiday,temp,rain,snow,weather,date,Time,traffic_volume
No,284.68,0,0,Clouds,15-10-2012,20:00:00,2677
No,284.49,0,0,Clouds,15-10-2012,21:00:00,2077
No,283.54,0,0,Clouds,15-10-2012,22:00:00,1380
No,,0,0,Clouds,15-10-2012,23:00:00,927
No,281.21,0,0,Clouds,16-10-2012,00:00:00,500
No,279.87,0,0,Clear,16-10-2012,01:00:00,324
No,278.93,0,0,Clear,16-10-2012,02:00:00,257
No,277.91,0,0,Clear,16-10-2012,03:00:00,354
No,277.21,0,0,Clear,16-10-2012,04:00:00,769
No,276.61,0,0,Clear,16-10-2012,05:00:00,2769
No,276.11,0,0,Clear,16-10-2012,06:00:00,5789
No,274.81,0,0,Clouds,16-10-2012,07:00:00,7055
No,274.99,0,0,Clouds,16-10-2012,08:00:00,6408
No,277.91,0,0,Clouds,16-10-2012,09:00:00,5254
No,280.71,0,0,Clouds,16-10-2012,10:00:00,4547
No,283.85,0,0,Clouds,16-10-2012,11:00:00,4784
No,286.01,0,0,Clouds,16-10-2012,12:00:00,5015
No,286.31,0,0,,16-10-2012,13:00:00,5057
No,288.15,0,0,Clouds,16-10-2012,14:00:00,5430
No,289.15,0,0,Clouds,16-10-2012,15:00:00,5813
No,288.99,0,0,Clouds,16-10-2012,16:00:00,6496
No,,0,0,Clouds,16-10-2012,17:00:00,6429
No,288.16,0,0,Clouds,16-10-2012,18:00:00,5142
No,287.28,0,0,Rain,16-10-2012,19:00:00,3311
No,287.04,0,0,Clouds,16-10-2012,20:00:00,2777
No,286.9,0,0,Clouds,16-10-2012,21:00:00,2331
No,287.09,0,0,Clouds,16-10-2012,22:00:00,1767
No,287.09,0,0,Clouds,16-10-2012,23:00:00,1093
No,286.89,0,0,Clouds,17-10-2012,00:00:00,554
No,286.93,0,0,Clouds,17-10-2012,01:00:00,333
No,286.93,0,0,Clouds,17-10-2012,02:00:00,267
No,287.07,0,0,Clouds,17-10-2012,03:00:00,358
No,286.56,0,0,,17-10-2012,04:00:00,777
No,285.91,0,0,Clouds,17-10-2012,05:00:00,2732
No,285.29,0,0,Clouds,17-10-2012,06:00:00,5637
No,284.92,0,0,Clouds,17-10-2012,07:00:00,5564
No,,0,0,Clouds,17-10-2012,08:00:00,6274
No,285.72,0,0,Rain,17-10-2012,09:00:00,5403
No,285.72,0,0,Rain,17-10-2012,09:00:00,5403
No,287.09,0,0,Clouds,17-10-2012,10:00:00,4680
No,288.31,0,0,Clouds,17-10-2012,11:00:00,4642
No,288.61,0,0,Clear,17-10-2012,12:00:00,4979
No,290.32,0,0,Clear,17-10-2012,13:00:00,4851
No,291.36,0,0,Clear,17-10-2012,14:00:00,4291
No,292.01,0,0,Clear,17-10-2012,15:00:00,4714
No,292.61,0,0,Clear,17-10-2012,16:00:00,6723
No,292.65,0,0,Clear,17-10-2012,17:00:00,6180
No,290.52,0,0,,17-10-2012,18:00:00,4843
No,288.35,0,0,Clouds,17-10-2012,19:00:00,3435
No,286.72,0,0,Clouds,17-10-2012,20:00:00,2921
No,285.49,0,0,Clouds,17-10-2012,21:00:00,2763
No,284.22,0,0,Clouds,17-10-2012,22:00:00,1930
No,283.8,0,0,Clouds,17-10-2012,23:00:00,1160
No,283.72,0,0,Clouds,18-10-2012,00:00:00,654
No,282.8,0,0,Clouds,18-10-2012,01:00:00,374
No,282.32,0,0,Mist,18-10-2012,02:00:00,301
No,282.38,0,0,,18-10-2012,03:00:00,397
No,282.76,0,0,Clouds,18-10-2012,04:00:00,794
No,282.88,0,0,Mist,18-10-2012,05:00:00,2564
No,284.18,0,0,Clouds,18-10-2012,06:00:00,5358
No,284.69,0,0,Clouds,18-10-2012,07:00:00,6441
No,285,0,0,Clouds,18-10-2012,08:00:00,5536
No,286.9,0,0,Rain,18-10-2012,09:00:00,5256
No,288.35,0,0,Clouds,18-10-2012,10:00:00,4619
No,289.59,0,0,Clouds,18-10-2012,11:00:00,5107
No,288.27,0,0,Rain,18-10-2012,12:00:00,5147
No,286.41,0,0,Clouds,18-10-2012,13:00:00,5283
No,285.96,0,0,Clouds,18-10-2012,14:00:00,5704
No,287.04,0,0,Clouds,18-10-2012,15:00:00,5887
No,287.18,0,0,Clouds,18-10-2012,16:00:00,6307
No,286.94,0,0,Clouds,18-10-2012,17:00:00,5953
No,286.01,0,0,,18-10-2012,18:00:00,4519
No,284.67,0,0,Drizzle,18-10-2012,19:00:00,3427
No,283.44,0,0,Rain,18-10-2012,20:00:00,2921
No,282.51,0,0,Drizzle,18-10-2012,21:00:00,2649
No,281.9,0,0,Clouds,18-10-2012,22:00:00,2005
No,281.85,0,0,Clouds,18-10-2012,23:00:00,1177
No,281.28,0,0,Clouds,19-10-2012,00:00:00,699
No,280.97,0,0,Mist,19-10-2012,01:00:00,436
No,280.44,0,0,Drizzle,19-10-2012,02:00:00,353
No,280.44,0,0,Mist,19-10-2012,02:00:00,353
No,280.02,0,0,Mist,19-10-2012,03:00:00,399
No,279.79,0,0,Drizzle,19-10-2012,04:00:00,720
No,279.79,0,0,,19-10-2012,04:00:00,720
No,279.79,0,0,Rain,19-10-2012,04:00:00,720
No,279.79,0,0,Drizzle,19-10-2012,04:00:00,720
No,279.74,0,0,Mist,19-10-2012,05:00:00,2370
No,279.74,0,0,Rain,19-10-2012,05:00:00,2370
No,279.65,0,0,Drizzle,19-10-2012,06:00:00,5162
No,279.65,0,0,Mist,19-10-2012,06:00:00,5162
No,279.65,0,0,Rain,19-10-2012,06:00:00,5162
No,279.45,0,0,Mist,19-10-2012,07:00:00,5777
No,279.45,0,0,Rain,19-10-2012,07:00:00,5777
No,279.22,0,0,Drizzle,19-10-2012,08:00:00,5235
No,279.22,0,0,Mist,19-10-2012,08:00:00,5235
No,279.22,0,0,Rain,19-10-2012,08:00:00,5235
No,279.35,0,0,Rain,19-10-2012,09:00:00,4606
No,279.35,0,0,Mist,19-10-2012,09:00:00,4606
No,279.92,0,0,,19-10-2012,10:00:00,4328
No,280.44,0,0,Clouds,19-10-2012,11:00:00,4282
No,281,0,0,Clouds,19-10-2012,12:00:00,4489
No,281.51,0,0,Clouds,19-10-2012,13:00:00,4908
No,281.93,0,0,Mist,19-10-2012,14:00:00,5620
No,281.94,0,0,Mist,19-10-2012,15:00:00,5849
No,281.94,0,0,Drizzle,19-10-2012,15:00:00,5849
No,282.27,0,0,Rain,19-10-2012,16:00:00,4945
No,282.41,0,0,Rain,19-10-2012,17:00:00,4619
No,282.21,0,0,Clouds,19-10-2012,18:00:00,4479
No,281.69,0,0,Clouds,19-10-2012,19:00:00,3804
No,281.26,0,0,Clouds,19-10-2012,20:00:00,2908
No,280.66,0,0,Mist,19-10-2012,21:00:00,2942
No,280.43,0,0,Drizzle,19-10-2012,22:00:00,3077
No,280.43,0,0,Drizzle,19-10-2012,22:00:00,3077
No,280.1,0,0,Mist,19-10-2012,23:00:00,2051
No,280.1,0,0,Rain,19-10-2012,23:00:00,2051
No,280.1,0,0,Drizzle,19-10-2012,23:00:00,2051
No,280.06,0,0,Rain,20-10-2012,00:00:00,1270
No,280.06,0,0,,20-10-2012,00:00:00,1270
No,280.28,0,0,Drizzle,20-10-2012,01:00:00,773
No,280.28,0,0,,20-10-2012,01:00:00,773
No,280.38,0,0,Drizzle,20-10-2012,02:00:00,589
No,280.62,0,0,Drizzle,20-10-2012,03:00:00,432
No,280.62,0,0,Mist,20-10-2012,03:00:00,432
No,280.91,0,0,Mist,20-10-2012,04:00:00,401
No,280.91,0,0,Drizzle,20-10-2012,04:00:00,401
No,280.91,0,0,Rain,20-10-2012,04:00:00,401
No,280.96,0,0,Rain,20-10-2012,05:00:00,759
No,280.96,0,0,Mist,20-10-2012,05:00:00,759
No,280.96,0,0,Drizzle,20-10-2012,05:00:00,759
No,281.13,0,0,Rain,20-10-2012,06:00:00,1313
No,281.13,0,0,Mist,20-10-2012,06:00:00,1313
No,281.13,0,0,Drizzle,20-10-2012,06:00:00,1313
No,281.28,0,0,,20-10-2012,07:00:00,1824
No,281.28,0,0,Mist,20-10-2012,07:00:00,1824
No,281.28,0,0,Drizzle,20-10-2012,07:00:00,1824
No,281.19,0,0,Rain,20-10-2012,08:00:00,2787
No,281.19,0,0,Mist,20-10-2012,08:00:00,2787
No,281.19,0,0,Drizzle,20-10-2012,08:00:00,2787
No,281.7,0,0,Rain,20-10-2012,09:00:00,3713
No,281.7,0,0,Drizzle,20-10-2012,09:00:00,3713
No,281.7,0,0,Mist,20-10-2012,09:00:00,3713
